Dataset,Model,Split Rule,Train N,Test N,RMSE,NRMSE,NSE,Event Precision (90th pct),Event Recall (90th pct),Event F1 (90th pct),Event Threshold (train 90th pct),R² (test)
cast,RF,stratified-random-70/15/15,15305,3280,1201.4294658253182,0.1530288454751392,0.3832212778909071,0.8604651162790697,0.1128048780487804,0.1994609164420485,4125.6,0.3832212778909071
cast,XGB,stratified-random-70/15/15,15305,3280,1204.080643399236,0.1533665320849874,0.3804962005758726,0.573170731707317,0.1432926829268292,0.2292682926829268,4125.6,0.3804962005758726
cast,SVR,stratified-random-70/15/15,15305,3280,1460.4378043458933,0.1860193356700921,0.0886211256722788,0.0,0.0,0.0,4125.6,0.0886211256722788
cast,RIDGE,stratified-random-70/15/15,15305,3280,1454.5492003245554,0.1852692905775768,0.0959558162746766,0.0,0.0,0.0,4125.6,0.0959558162746766
cast,LASSO,stratified-random-70/15/15,15305,3280,1454.554279259819,0.1852699374932899,0.0959495028548215,0.0,0.0,0.0,4125.6,0.0959495028548215
cast,MEAN,stratified-random-70/15/15,15305,3280,1529.7976379852023,0.194853857850618,-1.834501404562872e-06,0.0,0.0,0.0,4125.6,-1.834501404562872e-06
biotoxin,RF,chronological-70/15/15,3553,762,20.75105319036979,0.2361562898642288,-0.0057382499927471,0.0,0.0,0.0,41.0,-0.0057382499927471
biotoxin,XGB,chronological-70/15/15,3553,762,20.754215518759786,0.2361922785792623,-0.0060448095619134,0.0,0.0,0.0,41.0,-0.0060448095619134
biotoxin,SVR,chronological-70/15/15,3553,762,24.68307550537814,0.2809044668871986,-0.4229945070414895,0.0,0.0,0.0,41.0,-0.4229945070414895
biotoxin,RIDGE,chronological-70/15/15,3553,762,20.75416671402394,0.2361917231594849,-0.0060400780225882,0.0,0.0,0.0,41.0,-0.0060400780225882
biotoxin,LASSO,chronological-70/15/15,3553,762,20.7392430988432,0.2360218857271332,-0.0045937798167956,0.0,0.0,0.0,41.0,-0.0045937798167956
biotoxin,MEAN,chronological-70/15/15,3553,762,20.71776187160112,0.235777419729158,-0.002513787679804,0.0,0.0,0.0,41.0,-0.002513787679804
biotoxin,LSTM,chronological-70/15/15,3532,757,18.860930272750647,0.2146458435501382,0.1706705917094944,0.0,0.0,0.0,41.0,0.1706705917094944
biotoxin,TRANSFORMER,chronological-70/15/15,3532,757,20.71177088201689,0.2357092395813917,-8.131501089714277e-05,0.0,0.0,0.0,41.0,-8.131501089714277e-05
era5_daily,RF,chronological-70/15/15,72087,15448,1.1686306660776329,0.1237548935804535,0.5124633835962307,0.827972027972028,0.5925925925925926,0.690781796966161,6.781826591491699,0.5124633835962307
era5_daily,XGB,chronological-70/15/15,72087,15448,1.19356110190943,0.1263949607315525,0.4914402376836627,0.7916073968705548,0.5570570570570571,0.6539365452408931,6.781826591491699,0.4914402376836627
era5_daily,SVR,chronological-70/15/15,72087,15448,1.2615862254265953,0.1335986412150704,0.4318191933149864,0.851639344262295,0.52002002002002,0.6457426973275326,6.781826591491699,0.4318191933149864
era5_daily,RIDGE,chronological-70/15/15,72087,15448,1.78139347700877,0.1886448529645973,-0.1328499698048355,0.0,0.0,0.0,6.781826591491699,-0.1328499698048355
era5_daily,LASSO,chronological-70/15/15,72087,15448,1.7718400101838003,0.1876331661206976,-0.1207317889911159,0.0,0.0,0.0,6.781826591491699,-0.1207317889911159
era5_daily,MEAN,chronological-70/15/15,72087,15448,1.8135363312535264,0.1920486961307047,-0.1741003101409275,0.0,0.0,0.0,6.781826591491699,-0.1741003101409275
cleaned_data,RF,chronological-70/15/15,5473,1173,0.037623937177472,0.0935918835260497,0.8226648678149681,0.8058252427184466,0.6240601503759399,0.7033898305084746,0.224538,0.8226648678149681
cleaned_data,XGB,chronological-70/15/15,5473,1173,0.0367811434038404,0.0914953816015931,0.8305206640783285,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.224538,0.8305206640783285
cleaned_data,SVR,chronological-70/15/15,5473,1173,0.059788233525571,0.1487269490685846,0.5521859181761646,0.8701298701298701,0.5037593984962406,0.638095238095238,0.224538,0.5521859181761646
cleaned_data,RIDGE,chronological-70/15/15,5473,1173,0.0494679518507211,0.1230546065938337,0.6934409365318639,0.8095238095238095,0.5112781954887218,0.6267281105990783,0.224538,0.6934409365318639
cleaned_data,LASSO,chronological-70/15/15,5473,1173,0.0895607080006857,0.222787830847477,-0.0048502342842839,0.0,0.0,0.0,0.224538,-0.0048502342842839
cleaned_data,MEAN,chronological-70/15/15,5473,1173,0.0895607080006857,0.222787830847477,-0.0048502342842839,0.0,0.0,0.0,0.224538,-0.0048502342842839
cleaned_data,LSTM,chronological-70/15/15,5452,1169,0.0737105462800304,0.1833595678607723,0.3208241310102541,0.6901408450704225,0.3684210526315789,0.4803921568627451,0.22454,0.3208241310102541
cleaned_data,TRANSFORMER,chronological-70/15/15,5452,1169,0.0889935931772261,0.2213770974557863,0.0099879707980331,0.0,0.0,0.0,0.22454,0.0099879707980331
rolling_mean,RF,chronological-70/15/15,6198,1329,0.0172528258403919,0.0673782885095587,0.8636350464508002,0.8783783783783784,0.7428571428571429,0.804953560371517,0.1674035599999999,0.8636350464508002
