dataset,model,r2_mean,r2_std,mae_mean,rmse_mean,r2_formatted
biotoxin,mean,-0.008849553017207615,0.006521155605234739,18.092518474532522,20.79992988949195,-0.009±0.007
biotoxin,median,-0.43156923301881395,0.015594194319176217,17.540191752035724,24.776387303714206,-0.432±0.016
biotoxin,seasonal_naive,-0.008849553017207615,0.006521155605234739,18.092518474532522,20.79992988949195,-0.009±0.007
biotoxin,linear_trend,-0.01741003081278462,0.0057420360433061415,18.155810017425463,20.88803314897204,-0.017±0.006
biotoxin,ridge,-0.008300381953480596,0.004230329525461234,18.073960863649635,20.794416557445814,-0.008±0.004
biotoxin,lasso,-0.008392994718023091,0.004777556019457671,18.073873411513752,20.795329176858186,-0.008±0.005
cast,mean,-0.006058151018975962,0.004017043994067626,1399.1333397295282,1519.8204139519746,-0.006±0.004
cast,median,-0.011657309079822728,0.011331927373379052,1401.2547749725575,1523.8361102664092,-0.012±0.011
cast,seasonal_naive,-0.006058151018975962,0.004017043994067626,1399.1333397295282,1519.8204139519746,-0.006±0.004
cast,linear_trend,-0.11183823288868762,0.15778421132436024,1442.601046397592,1590.927174388431,-0.112±0.158
cast,ridge,-1.5454977017333187,1.675060522119657,1885.9063235578158,2272.114770894533,-1.545±1.675
cast,lasso,-1.5778965325833614,1.6649426556476463,1897.014072490116,2291.608462680436,-1.578±1.665
era5_daily,mean,-0.04347829392158187,0.036352147164766105,1.5389946098146312,1.8839438524148335,-0.043±0.036
era5_daily,median,-0.10334583527146372,0.11782373074586744,1.5326426187479634,1.932963414299025,-0.103±0.118
era5_daily,seasonal_naive,-0.04347829392158187,0.036352147164766105,1.5389946098146312,1.8839438524148335,-0.043±0.036
era5_daily,linear_trend,-0.04965419585948686,0.027583560090594116,1.5546621240296412,1.889985311871835,-0.050±0.028
era5_daily,ridge,0.06294501251950657,0.11679190825813539,1.421996001314388,1.7799741967692684,0.063±0.117
era5_daily,lasso,0.09631778879264456,0.08458560210628795,1.4027337550836354,1.749539446075401,0.096±0.085
cleaned_data,mean,-0.009233415124454192,0.006731170233540207,0.06641423570265072,0.08544117930388972,-0.009±0.007
