dataset,model,r2_score,status,mae,rmse
era5_daily,lstm,,empty_result,,
era5_daily,transformer,,empty_result,,
cast,lstm,,empty_result,,
cast,transformer,,empty_result,,
rolling_mean,lstm,0.6211913149505293,success,0.020746368201425294,0.028458406741319914
rolling_mean,transformer,0.14167118190811223,success,0.03355719629769068,0.042837830237959854
processed_seq,lstm,0.6171814411048515,success,0.042104638997798115,0.0568601702780912
processed_seq,transformer,0.009948234073943518,success,0.07432818835303447,0.09144092597432836
cleaned_data,lstm,0.4017920164513157,success,0.05504891940849859,0.07053132103143865
cleaned_data,transformer,0.02626796386967012,success,0.06939660445801447,0.08998614459372384
biotoxin,lstm,0.10105492314459841,success,15.586157733327646,18.643014116184396
biotoxin,transformer,-0.0012606036529783093,success,17.485670227111253,19.675379303437275
hydrographic,lstm,0.6881757291099662,success,0.1212991487404455,0.18667668099107643
hydrographic,transformer,0.636443050060131,success,0.13852417319068305,0.20156788487242175
