dataset,model,R2,MAE,RMSE,n_samples,R2_mean,R2_std,R2_ci_lower,R2_ci_upper,MAE_mean,MAE_std,MAE_ci_lower,MAE_ci_upper,RMSE_mean,RMSE_std,RMSE_ci_lower,RMSE_ci_upper
cleaned_data,lstm,0.2754961095071061,0.05537077477452797,0.07343699630668894,7789,0.2753895687550609,0.010646482399633525,0.25473698414751517,0.29624309022394757,0.05535412308614955,0.0005561806230786624,0.05428325580946986,0.05642631431622583,0.07342081410429584,0.0007873180744505272,0.07188853020846911,0.07485239194776967
cleaned_data,rf,0.9606287135294025,0.010756154720240727,0.017123175679015293,7819,0.9606480562587837,0.0013073399233589056,0.9580227591493343,0.9631346002164387,0.010757563171681838,0.00015377550049685076,0.010464382099371877,0.011054945276632994,0.017119777317073877,0.00028935918216325507,0.01655657414102229,0.01770366905685478
cleaned_data,svr,0.8394748051946683,0.024864118954933817,0.03457531236667092,7819,0.8393978964285475,0.004044469520478288,0.8315531996834505,0.8470519327829149,0.02486714949724783,0.00028112534015210756,0.024312566041233222,0.02540630723992725,0.03458741869215612,0.00046133013676891865,0.033740016969336616,0.035501680528238044
cleaned_data,transformer,0.0872920189420936,0.06433530988070219,0.08242528706185363,7789,0.08706365906394724,0.006710817828462422,0.07388859496662015,0.10059538146606402,0.06432134612767379,0.0005817768047565365,0.06317355744026411,0.06545841380694375,0.08241394290249691,0.0008094340837694768,0.08086947242506108,0.08395232316163913
cleaned_data,xgb,0.9999163941080895,0.0005768521610901944,0.0007890653117902159,7819,0.9999163841975934,2.4915973951127536e-06,0.9999113887355346,0.9999209841334313,0.000576917315856418,6.233024820300743e-06,0.0005651239318980939,0.000589466020932729,0.000789132353168848,9.130430766934237e-06,0.0007712271263202865,0.0008080126640766278
rolling_mean,lstm,0.5551054778565171,0.022700574069731135,0.031022411329819418,8825,0.5550136494986393,0.009133847734785547,0.5370853800421646,0.5728258139285501,0.022690132041799052,0.00021374680739431323,0.02228262600277018,0.02311562179756368,0.03101351434335736,0.00032070372183690463,0.030391614012350934,0.03165937657688444
rolling_mean,rf,0.972275363539887,0.005440399793039593,0.007740948162428895,8855,0.9723033443091447,0.0008370995379430931,0.9705652715861748,0.9738581092330021,0.005436165051222967,6.137810582794463e-05,0.005318530789435776,0.005559833620893334,0.007731784143625218,0.00010923097386084812,0.007525212955982115,0.007965562270383374
rolling_mean,svr,0.9025265974983531,0.011532730427756769,0.014514573944473887,8855,0.9025183202182937,0.0019876697039445963,0.898984597420853,0.9066225655962121,0.01152725491901044,9.141191467478983e-05,0.01134933876633298,0.01171667194064671,0.014506144975756816,0.00011649444592749747,0.01427160247957168,0.014738612133117099
rolling_mean,transformer,0.20411005389980152,0.03192275365938638,0.0414928754098673,8825,0.2042519541298737,0.006667093557820931,0.1906131310357606,0.2169423928071874,0.03190497971975712,0.0002733619593611813,0.031375676394531586,0.032421597864830176,0.041475997194313205,0.00036192354407592943,0.04076868524444821,0.04216772814043074
rolling_mean,xgb,0.9997686483273509,0.0005257785328256891,0.000707127213142509,8855,0.9997686706081046,6.158136742640516e-06,0.9997564281944412,0.9997807273750658,0.0005254894029399145,4.911112001819835e-06,0.0005161682168253735,0.0005353794292683521,0.0007066126375149797,6.981367049917411e-06,0.0006931074559176515,0.0007201822428266631
