dataset,model,best_params,best_score,data_shape,R2,MAE,RMSE,MAPE,Correlation
cleaned_data,rf,"{'n_estimators': 362, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 3}",0.8070420925359632,"(7819, 69)",0.8161971026886731,0.0226527568908849,0.0360228158934107,0.3360293602174772,0.903708771303728
cleaned_data,xgb,"{'learning_rate': 0.030710573677773714, 'n_estimators': 1151, 'max_depth': 8, 'subsample': 0.9197316968394074, 'colsample_bytree': 0.8312037280884873}",0.8321235321916098,"(7819, 69)",0.8595699643725012,0.0192360491272208,0.0314870145638212,0.2774162802573126,0.9272064117778208
cleaned_data,svr,"{'C': 59.905982571283964, 'gamma': 0.00029380279387035364, 'epsilon': 0.02403950683025824}",0.74242057175376,"(7819, 69)",0.7926147472562816,0.0271427900033622,0.0382640043426897,0.4629505911962502,0.8903810280861462
cleaned_data,lstm,"{'hidden_size': 68, 'num_layers': 3, 'dropout': 0.39279757672456206, 'learning_rate': 0.0015751320499779737}",0.1386768215129731,"(7789, 30, 70)",0.3525813093339315,0.0548380507392972,0.0733750706341149,21684946988667.94,0.5959617539391887
cleaned_data,transformer,"{'d_model': 44, 'nhead': 4, 'num_layers': 2, 'dropout': 0.15986584841970367, 'learning_rate': 0.0001432249371823026}",0.0303810845062543,"(7789, 30, 70)",0.1214384397054516,0.066313933152296,0.085475571770057,27608990278705.28,0.356017309676637
processed_seq,rf,"{'n_estimators': 209, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 5}",0.087537075490217,"(8039, 30)",0.1294358940041703,0.0649152063127751,0.0819732496953855,1.679968749066281,0.3607418439294861
processed_seq,xgb,"{'learning_rate': 0.015957084694148364, 'n_estimators': 258, 'max_depth': 9, 'subsample': 0.9202230023486417, 'colsample_bytree': 0.941614515559209}",0.0615279652508521,"(8039, 30)",0.1301333520727827,0.0651123561020817,0.0819404064161161,1.691582888776648,0.3631240678210931
processed_seq,svr,"{'C': 59.905982571283964, 'gamma': 0.00029380279387035364, 'epsilon': 0.02403950683025824}",0.0448203583355003,"(8039, 30)",0.0865860136418389,0.0629311589683527,0.0839664133425385,1.4219389646342602,0.3447612438262395
processed_seq,lstm,"{'hidden_size': 68, 'num_layers': 3, 'dropout': 0.39279757672456206, 'learning_rate': 0.0015751320499779737}",0.2032315798325701,"(8009, 30, 31)",0.423537613941236,0.0508171321356407,0.0697745672164124,1.1106635232236517,0.6517133121802511
processed_seq,transformer,"{'d_model': 44, 'nhead': 4, 'num_layers': 2, 'dropout': 0.15986584841970367, 'learning_rate': 0.0001432249371823026}",0.0656239508189071,"(8009, 30, 31)",0.3056142827751128,0.0554176236583354,0.076579416614836,1.0512237081517235,0.5791328468423582
rolling_mean,rf,"{'n_estimators': 362, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 3}",0.8581399209341223,"(8855, 69)",0.8996481501181031,0.0109027373789502,0.0149033811547532,0.1154716740434457,0.9490810843054988
