dataset,model,r2_mean,r2_std,ci_lower,ci_upper,r2_formatted
biotoxin,rf,-0.0069495969406211,0.0050875370380692,-0.012209722695961,-0.0039495428891213,-0.007±0.004
biotoxin,xgb,-0.0073330821388505,0.0050698316282108,-0.0125371634740082,-0.0043176715581818,-0.007±0.004
biotoxin,svr,-0.4470228583306922,0.0600868236373813,-0.5068119885100263,-0.4133613960454292,-0.447±0.047
biotoxin,mean,-0.0077226360367434,0.0097852594389728,-0.0179251737693184,-0.0017039953667338,-0.008±0.008
biotoxin,ridge,-0.008212904028057,0.0095187793124331,-0.0178481123101812,-0.0021087205922475,-0.008±0.008
biotoxin,lasso,-0.0079079387890911,0.0096692412581096,-0.0178595719474966,-0.0024749849673367,-0.008±0.008
cast,rf,0.0505785427738229,0.1470787269948886,-0.0595425967604109,0.1885620589911242,0.051±0.124
cast,xgb,-0.555182556921211,0.5564154312380827,-1.066132253418217,-0.0891458829245726,-0.555±0.488
cast,svr,-0.1609076332812265,0.3981025447227998,-0.5627000107425778,0.057276882756402,-0.161±0.310
cast,mean,-0.0612587645575921,0.1165445845350554,-0.1786876781615204,-0.0011210568887788,-0.061±0.089
cast,ridge,-0.2851963515934823,0.3497629791344099,-0.5743047003907162,-0.0024987286066575,-0.285±0.286
cast,lasso,-0.2848265681963549,0.3495999868774643,-0.5678685163836061,-1.1478605980319578e-05,-0.285±0.284
era5_daily,rf,0.6996359211214163,0.1587751406573251,0.5631135180475562,0.8340958533885766,0.700±0.135
era5_daily,xgb,0.6849572668233084,0.1624466709964686,0.544095562820973,0.8258189708256436,0.685±0.141
era5_daily,svr,0.6194646364375664,0.3111188494655887,0.3113704455135357,0.8532013402168381,0.619±0.271
era5_daily,mean,-0.0672099123622087,0.0689472339035171,-0.1278475292938518,-0.0085839916323436,-0.067±0.060
era5_daily,ridge,0.0604728915315538,0.1719357571328709,-0.0852263555992582,0.2065261142442788,0.060±0.146
era5_daily,lasso,0.0607971651709678,0.128331368956571,-0.0520505155259579,0.1736448458678936,0.061±0.113
cleaned_data,rf,0.803945750230708,0.0295289642213329,0.7738259712530422,0.8245512691546912,0.804±0.025
cleaned_data,xgb,0.8016438509387749,0.041034194023407,0.76220019013971,0.8343318385873344,0.802±0.036
cleaned_data,svr,0.3258209821483909,0.3641051347104853,-0.0434237948478195,0.5463528147534433,0.326±0.295
cleaned_data,mean,-0.0069998029721152,0.0087275657581772,-0.0157521916187167,-0.0009531689786281,-0.007±0.007
cleaned_data,ridge,0.6877856676051574,0.0439956454105505,0.6486565777520494,0.718434647185412,0.688±0.035
cleaned_data,lasso,-0.0066524834862422,0.0090189802100841,-0.0154048721328437,-0.0002078562945093,-0.007±0.008
rolling_mean,rf,0.8554386826748228,0.0093474039280448,0.8471491324433762,0.8637282329062694,0.855±0.008
rolling_mean,xgb,0.8463822790346851,0.0135618778394782,0.835397146795551,0.860211513880909,0.846±0.012
rolling_mean,svr,-0.1782325198999053,0.3470888048726018,-0.532883653012129,0.0715862413000751,-0.178±0.302
rolling_mean,mean,-0.0785548108450067,0.120221509930826,-0.1986226466987435,-0.0112915698620742,-0.079±0.094
rolling_mean,ridge,0.8366024660242306,0.0262306902926535,0.8098109681011726,0.8545350233204256,0.837±0.022
rolling_mean,lasso,-0.0774129243490785,0.1207771352218732,-0.1978908424806199,-0.0100706000362628,-0.077±0.094
processed_seq,rf,0.0626857826962492,0.0365147141266223,0.0342820106740201,0.0969160057784341,0.063±0.031
processed_seq,xgb,-0.0725846430985735,0.0340408892217995,-0.1021727469108784,-0.0450274450924923,-0.073±0.029
processed_seq,svr,-0.113764516148229,0.0918567715994785,-0.1863512116995543,-0.0277405076410754,-0.114±0.079
processed_seq,mean,-0.0475386151132912,0.0573899634166803,-0.1003011382111156,-0.0012460452807244,-0.048±0.050
processed_seq,ridge,0.0900929734970766,0.0456983912045902,0.0553086547737734,0.1342296073514644,0.090±0.039
processed_seq,lasso,-0.0475386151132912,0.0573899634166803,-0.1001467128182656,-0.0012499059155456,-0.048±0.049
hydrographic,rf,0.8482954511806235,0.015307623483571231,0.8182381821390997,0.8770222112599911,0.848±0.015
hydrographic,xgb,0.8777147800339615,0.012252820841621749,0.8529743809135746,0.8999170361627714,0.878±0.012
hydrographic,svr,0.7156320289411404,0.02641720443698468,0.6606969711942468,0.7636706875671638,0.716±0.026
hydrographic,mean,-0.0016072332388249388,0.0022833017344396954,-0.00746147160848486,-1.6691519144407357e-06,-0.002±0.002
hydrographic,ridge,0.09001268306786844,0.017643034094066177,0.05186177946904557,0.1227625097540998,0.090±0.018
hydrographic,lasso,0.08940157859893078,0.01713395603287627,0.05382640939767,0.1216193980921044,0.089±0.017
