Dataset,Model,Type,R²,R² (±95% CI),p-value,MAE,Formatted R²
biotoxin,LSTM,Deep Learning,0.1011,±0.035,< 0.05,15.5862,0.101 (±0.035)
biotoxin,TRANSFORMER,Deep Learning,-0.0013,±0.049,> 0.05,17.4857,-0.001 (±0.049)
biotoxin,RF,Traditional ML,-0.0069,±0.045,< 0.05,,-0.007 (±0.045)
biotoxin,XGB,Traditional ML,-0.0073,±0.042,< 0.05,,-0.007 (±0.042)
biotoxin,MEAN,Baseline,-0.0077,±0.046,< 0.05,,-0.008 (±0.046)
biotoxin,LASSO,Baseline,-0.0079,±0.053,< 0.05,,-0.008 (±0.053)
biotoxin,RIDGE,Baseline,-0.0082,±0.049,< 0.05,,-0.008 (±0.049)
biotoxin,SVR,Traditional ML,-0.447,±0.049,< 0.05,,-0.447 (±0.049)
cast,RF,Traditional ML,0.0506,±0.035,> 0.05,,0.051 (±0.035)
cast,MEAN,Baseline,-0.0613,±0.043,< 0.05,,-0.061 (±0.043)
cast,SVR,Traditional ML,-0.1609,±0.050,> 0.05,,-0.161 (±0.050)
cast,LASSO,Baseline,-0.2848,±0.057,< 0.05,,-0.285 (±0.057)
cast,RIDGE,Baseline,-0.2852,±0.053,< 0.05,,-0.285 (±0.053)
cast,XGB,Traditional ML,-0.5552,±0.058,< 0.05,,-0.555 (±0.058)
cleaned_data,RF,Traditional ML,0.8039,±0.011,< 0.05,,0.804 (±0.011)
cleaned_data,XGB,Traditional ML,0.8016,±0.021,< 0.05,,0.802 (±0.021)
cleaned_data,RIDGE,Baseline,0.6878,±0.025,< 0.05,,0.688 (±0.025)
cleaned_data,LSTM,Deep Learning,0.4018,±0.040,< 0.05,0.055,0.402 (±0.040)
cleaned_data,SVR,Traditional ML,0.3258,±0.035,> 0.05,,0.326 (±0.035)
cleaned_data,TRANSFORMER,Deep Learning,0.0263,±0.028,> 0.05,0.0694,0.026 (±0.028)
cleaned_data,LASSO,Baseline,-0.0067,±0.055,< 0.05,,-0.007 (±0.055)
cleaned_data,MEAN,Baseline,-0.007,±0.048,< 0.05,,-0.007 (±0.048)
era5_daily,RF,Traditional ML,0.6996,±0.019,< 0.05,,0.700 (±0.019)
era5_daily,XGB,Traditional ML,0.685,±0.036,< 0.05,,0.685 (±0.036)
era5_daily,SVR,Traditional ML,0.6195,±0.028,< 0.05,,0.620 (±0.028)
era5_daily,LASSO,Baseline,0.0608,±0.034,> 0.05,,0.061 (±0.034)
era5_daily,RIDGE,Baseline,0.0605,±0.028,> 0.05,,0.060 (±0.028)
era5_daily,MEAN,Baseline,-0.0672,±0.046,< 0.05,,-0.067 (±0.046)
hydrographic,LSTM,Deep Learning,0.6882,±0.027,< 0.05,0.1213,0.688 (±0.027)
hydrographic,TRANSFORMER,Deep Learning,0.6364,±0.027,< 0.05,0.1385,0.636 (±0.027)
hydrographic,LASSO,Baseline,-0.4805,±0.051,< 0.05,,-0.480 (±0.051)
hydrographic,MEAN,Baseline,-0.4805,±0.048,< 0.05,,-0.480 (±0.048)
hydrographic,RIDGE,Baseline,-0.573,±0.047,< 0.05,,-0.573 (±0.047)
hydrographic,RF,Traditional ML,-1.1945,±0.051,< 0.05,,-1.194 (±0.051)
hydrographic,SVR,Traditional ML,-1.2152,±0.057,< 0.05,,-1.215 (±0.057)
hydrographic,XGB,Traditional ML,-1.341,±0.044,< 0.05,,-1.341 (±0.044)
processed_seq,LSTM,Deep Learning,0.6172,±0.019,< 0.05,0.0421,0.617 (±0.019)
processed_seq,RIDGE,Baseline,0.0901,±0.039,< 0.05,,0.090 (±0.039)
processed_seq,RF,Traditional ML,0.0627,±0.030,< 0.05,,0.063 (±0.030)
processed_seq,TRANSFORMER,Deep Learning,0.0099,±0.029,> 0.05,0.0743,0.010 (±0.029)
processed_seq,LASSO,Baseline,-0.0475,±0.053,< 0.05,,-0.048 (±0.053)
processed_seq,MEAN,Baseline,-0.0475,±0.053,< 0.05,,-0.048 (±0.053)
processed_seq,XGB,Traditional ML,-0.0726,±0.049,< 0.05,,-0.073 (±0.049)
processed_seq,SVR,Traditional ML,-0.1138,±0.055,< 0.05,,-0.114 (±0.055)
rolling_mean,RF,Traditional ML,0.8554,±0.018,< 0.05,,0.855 (±0.018)
rolling_mean,XGB,Traditional ML,0.8464,±0.014,< 0.05,,0.846 (±0.014)
rolling_mean,RIDGE,Baseline,0.8366,±0.027,< 0.05,,0.837 (±0.027)
rolling_mean,LSTM,Deep Learning,0.6212,±0.025,< 0.05,0.0207,0.621 (±0.025)
rolling_mean,TRANSFORMER,Deep Learning,0.1417,±0.034,< 0.05,0.0336,0.142 (±0.034)
rolling_mean,LASSO,Baseline,-0.0774,±0.049,< 0.05,,-0.077 (±0.049)
rolling_mean,MEAN,Baseline,-0.0786,±0.058,< 0.05,,-0.079 (±0.058)
rolling_mean,SVR,Traditional ML,-0.1782,±0.045,> 0.05,,-0.178 (±0.045)
